"city","position_id","position_name","position_edu","position_salary","position_work_exp","company_name","company_id","company_industry","company_size","company_lat","company_long"
"上海","1044917","Python高级开发工程师","本科","18k-28k","3-5年","易路","35796","移动互联网,企业服务","150-500人","31.16901","121.386397"
"广州","1498631","Python高级软件工程师","本科","9k-18k","1-3年","英荔教育","108163","企业服务,教育","50-150人","23.141732","113.324767"
"深圳","2268991","Python","本科","15k-30k","3-5年","糗事百科","1015","移动互联网","150-500人","22.55322309","113.94416376"
"北京","2748374","Python后端工程师","本科","18k-25k","3-5年","云势软件","145597","企业服务","150-500人","39.932346","116.450826"
"上海","3167148","Python开发工程师","本科","15k-25k","5-10年","华策","200377","移动互联网","50-150人","31.220724","121.381215"
"北京","3285895","Python 游戏服务端开发","本科","18k-25k","3-5年","微笑科技","88795","移动互联网,游戏","50-150人","40.008545","116.350322"
"深圳","3488677","Python后台开发工程师","本科","15k-30k","3-5年","小步网络","130397","移动互联网","150-500人","22.562663","113.870862"
"深圳","3550448","Python开发工程师","大专","15k-25k","3-5年","众禄基金","50285","移动互联网,金融","150-500人","22.565383","114.106642"
"北京","3804005","Python 后端开发（北京）","本科","18k-36k","1-3年","蜻蜓FM","30816","移动互联网","150-500人","39.920432","116.454812"
"广州","3863913","Python程序员学徒","大专","2k-3k","不限","创拓信息","172089","电商,消费生活","50-150人","22.986081","113.319592"
"上海","4088383","Python开发工程师","不限","8k-15k","不限","Hypers","24102","移动互联网","150-500人","31.229261","121.470386"
"深圳","4120370","Python高级开发工程师","本科","15k-30k","3-5年","明源云","5580","电商","2000人以上","22.537321","113.953442"
"上海","4123246","Python工程师","本科","13k-20k","3-5年","NextTao 互道信息","56474","移动互联网,电商","50-150人","31.199523","121.602093"
"深圳","4147727","Python开发工程师","本科","10k-20k","1-3年","行云智能","158669","移动互联网,硬件","15-50人","22.534201","113.922225"
"北京","4164766","Python讲师","大专","10k-20k","1-3年","慕课网","6040","移动互联网,教育","50-150人","39.960161","116.30996"
"广州","4182920","Python开发工程师","本科","8k-15k","3-5年","MUN-U","53978","游戏","15-50人","23.0878","113.330604"
"上海","4254613","Python开发实习生-短视频方向","本科","4k-8k","不限","字节跳动","62","文娱丨内容","2000人以上","31.202726","121.481719"
"北京","4313110","python后台工程师","本科","15k-25k","1-3年","混沌大学","165649","移动互联网,教育","150-500人","39.967136","116.36005"
